COMMON_NAME,BREEDING_CODE,SUITABILITY_TEXT,SUITABILITY
Common Nighthawk,UN,,0
Turkey Vulture,F,,0
Turkey Vulture,H,,0
Turkey Vulture,S,U,2
Turkey Vulture,A,,0
Turkey Vulture,B,U,2
Turkey Vulture,C,,0
Turkey Vulture,M,,0
Turkey Vulture,N,,0
Turkey Vulture,P,,0
Turkey Vulture,S7,U,2
Turkey Vulture,T,,0
Turkey Vulture,CF,,0
Turkey Vulture,CN,,0
Turkey Vulture,DD,,0
Turkey Vulture,FL,,0
Turkey Vulture,FS,,0
Turkey Vulture,FY,,0
Turkey Vulture,NB,,0
Turkey Vulture,NE,,0
Turkey Vulture,NY,,0
Turkey Vulture,ON,,0
Turkey Vulture,PE,,0
Turkey Vulture,UN,,0
Black Vulture,F,,0
Black Vulture,H,,0
Black Vulture,S,U,2
Black Vulture,A,,0
Black Vulture,B,U,2
Black Vulture,C,,0
Black Vulture,M,,0
Black Vulture,N,,0
Black Vulture,P,,0
Black Vulture,S7,U,2
Black Vulture,T,,0
Black Vulture,CF,,0
Black Vulture,CN,,0
Black Vulture,DD,,0
Black Vulture,FL,,0
Black Vulture,FS,,0
Black Vulture,FY,,0
Black Vulture,NB,,0
Black Vulture,NE,,0
Black Vulture,NY,,0
Black Vulture,ON,,0
Black Vulture,PE,,0
Black Vulture,UN,,0
Piping Plover,F,S,0
Piping Plover,H,,0
Piping Plover,S,,0
Piping Plover,A,,0
Piping Plover,B,U,2
Piping Plover,C,,0
Piping Plover,M,,0
Piping Plover,N,,0
Piping Plover,P,,0
Piping Plover,S7,,0
Piping Plover,T,,0
Piping Plover,CF,,0
Piping Plover,CN,,0
Piping Plover,DD,,0
Piping Plover,FL,,0
Piping Plover,FS,,0
Piping Plover,FY,,0
Piping Plover,NB,,0
Piping Plover,NE,,0
Piping Plover,NY,,0
Piping Plover,ON,,0
Piping Plover,PE,,0
Piping Plover,UN,,0
Killdeer,F,S,0
Killdeer,H,,0
Killdeer,S,,0
Killdeer,A,,0
Killdeer,B,U,2
Killdeer,C,,0
Killdeer,M,,0
Killdeer,N,,0
Killdeer,P,,0
Killdeer,S7,,0
Killdeer,T,,0
Killdeer,CF,,0
Killdeer,CN,,0
Killdeer,DD,,0
Killdeer,FL,,0
Killdeer,FS,,0
Killdeer,FY,,0
Killdeer,NB,,0
Killdeer,NE,,0
Killdeer,NY,,0
Killdeer,ON,,0
Killdeer,PE,,0
Killdeer,UN,,0
Wilsons Plover,F,S,0
Wilsons Plover,H,,0
Wilsons Plover,S,,0
Wilsons Plover,A,,0
Wilsons Plover,B,U,2
Wilsons Plover,C,,0
Wilsons Plover,M,,0
Wilsons Plover,N,,0
Wilsons Plover,P,,0
Wilsons Plover,S7,,0
Wilsons Plover,T,,0
Wilsons Plover,CF,,0
Wilsons Plover,CN,,0
Wilsons Plover,DD,,0
Wilsons Plover,FL,,0
